stats_type,year,Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts,year_player,won_super_bowl
receiving,2019,Sammy Watkins,52,673,3,9,2,68,30,0.577,2,0,90,2019_Sammy Watkins,1
receiving,2019,Will Fuller,49,670,3,10,4,54,26,0.531,1,0,71,2019_Will Fuller,0
receiving,2019,Dede Westbrook,66,660,3,10,0,39,31,0.47,0,0,101,2019_Dede Westbrook,0
receiving,2019,Anthony Miller,52,656,2,11,0,35,34,0.654,0,0,85,2019_Anthony Miller,0
receiving,2019,Hunter Henry,55,652,5,8,0,30,36,0.655,1,0,76,2019_Hunter Henry,0
receiving,2019,Tyrell Williams,42,651,6,12,4,46,33,0.786,0,0,64,2019_Tyrell Williams,0
receiving,2019,James White,72,645,5,9,1,59,31,0.431,0,0,95,2019_James White,0
receiving,2019,Breshad Perriman,36,645,6,15,1,44,29,0.806,0,0,70,2019_Breshad Perriman,0
receiving,2019,Curtis Samuel,54,627,6,8,1,44,36,0.667,0,0,105,2019_Curtis Samuel,0
receiving,2019,Zach Pascal,41,607,5,11,0,37,29,0.707,0,0,72,2019_Zach Pascal,0
receiving,2019,Dallas Goedert,58,607,5,8,0,28,33,0.569,2,0,87,2019_Dallas Goedert,0
receiving,2019,Hunter Renfrow,49,605,4,7,2,65,31,0.633,0,0,71,2019_Hunter Renfrow,0
receiving,2019,Corey Davis,43,601,2,10,0,38,33,0.767,1,0,69,2019_Corey Davis,0
receiving,2019,Greg Olsen,52,597,2,6,1,41,34,0.654,0,0,82,2019_Greg Olsen,0
receiving,2019,Marquise Brown,46,584,7,8,4,83,24,0.522,0,0,71,2019_Marquise Brown,0
receiving,2019,Brandin Cooks,42,583,2,9,1,57,32,0.762,0,0,72,2019_Brandin Cooks,0
receiving,2019,Sterling Shepard,57,576,3,8,0,36,29,0.509,0,0,83,2019_Sterling Shepard,0
receiving,2019,Auden Tate,40,575,1,8,0,33,29,0.725,1,0,80,2019_Auden Tate,0
receiving,2019,Mike Gesicki,51,570,5,7,0,34,25,0.49,1,0,89,2019_Mike Gesicki,0
receiving,2019,Noah Fant,40,562,3,10,3,75,23,0.575,1,0,66,2019_Noah Fant,0
receiving,2019,Kenny Stills,40,561,4,9,2,45,27,0.675,0,0,55,2019_Kenny Stills,0
receiving,2019,JuJu Smith-Schuster,42,552,3,7,2,76,23,0.548,1,0,70,2019_JuJu Smith-Schuster,0
receiving,2019,Mecole Hardman,26,538,6,9,4,83,18,0.692,0,0,41,2019_Mecole Hardman,1
receiving,2019,Alvin Kamara,81,533,1,2,1,41,28,0.346,1,0,97,2019_Alvin Kamara,0
receiving,2019,Jason Witten,63,529,4,2,0,33,27,0.429,1,0,83,2019_Jason Witten,0
receiving,2019,Alex Erickson,43,529,0,5,2,52,26,0.605,1,0,78,2019_Alex Erickson,0
receiving,2019,Leonard Fournette,76,522,0,3,0,27,23,0.303,1,0,100,2019_Leonard Fournette,0
receiving,2019,Mohamed Sanu,59,520,2,3,0,50,30,0.508,0,0,89,2019_Mohamed Sanu,0
receiving,2019,Dalvin Cook,53,519,0,7,0,31,26,0.491,1,0,63,2019_Dalvin Cook,0
receiving,2019,Miles Sanders,50,509,3,8,2,45,19,0.38,0,0,63,2019_Miles Sanders,0
receiving,2019,John Ross,28,506,3,10,2,66,22,0.786,1,0,56,2019_John Ross,0
